work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,Mid,Full-time,Data Analyst,80000.0,USD,80000.0,US,0,US,Medium
2025,Mid,Full-time,Engineer,213000.0,USD,213000.0,US,0,US,Medium
2025,Mid,Full-time,Engineer,155000.0,USD,155000.0,US,100,US,Medium
2025,Senior,Full-time,Solutions Architect,250000.0,USD,250000.0,US,0,US,Medium
2024,Senior,Full-time,Business Intelligence Analyst,104550.0,USD,104550.0,US,100,US,Medium
2025,Senior,Full-time,Machine Learning Engineer,167700.0,USD,167700.0,US,0,US,Medium
2025,Senior,Full-time,Power BI,170600.0,USD,170600.0,US,0,US,Medium
2024,Mid,Full-time,AI Product Manager,188000.0,USD,188000.0,US,0,US,Medium
2024,Senior,Full-time,Machine Learning Engineer,331640.0,USD,331640.0,US,0,US,Medium
2024,Mid,Full-time,Data Specialist,89600.0,USD,89600.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,153000.0,USD,153000.0,US,0,US,Medium
2025,Senior,Full-time,Data Lead,260000.0,USD,260000.0,US,0,US,Medium
2025,Executive,Full-time,Engineer,264000.0,USD,264000.0,US,100,US,Medium
2025,Mid,Full-time,AI Engineer,180000.0,USD,180000.0,US,0,US,Medium
2025,Senior,Full-time,Director,247000.0,USD,247000.0,US,0,US,Medium
2025,Senior,Full-time,AI Engineer,120000.0,CAD,85714.0,CA,0,CA,Medium
2025,Mid,Full-time,Data Analyst,218030.0,USD,218030.0,US,0,US,Medium
2025,Senior,Full-time,Data Engineer,64000.0,USD,64000.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,333000.0,USD,333000.0,US,0,US,Medium
2025,Senior,Full-time,Data Analyst,113100.0,USD,113100.0,US,0,US,Medium
2023,Mid,Full-time,Data Analyst,866000.0,PHP,15680.0,PH,50,PH,Large
2025,Mid,Full-time,Data Engineer,205000.0,USD,205000.0,US,0,US,Medium
2024,Senior,Full-time,Software Engineer,225600.0,USD,225600.0,US,0,US,Medium
2024,Mid,Full-time,Software Engineer,116400.0,USD,116400.0,US,0,US,Medium
2024,Senior,Full-time,Consultant,81000.0,USD,81000.0,US,0,US,Medium
2024,Senior,Full-time,Data Engineer,240500.0,USD,240500.0,US,0,US,Large
2025,Senior,Full-time,Data Scientist,197400.0,USD,197400.0,US,0,US,Medium
2025,Senior,Full-time,Data Scientist,155000.0,USD,155000.0,US,0,US,Medium
2025,Mid,Full-time,Consultant,102600.0,USD,102600.0,US,0,US,Medium
2024,Mid,Full-time,Associate,149400.0,USD,149400.0,GB,100,GB,Medium
2025,Mid,Full-time,Data Manager,78580.0,USD,78580.0,US,0,US,Medium
2024,Entry,Full-time,Site Reliability Engineer,112200.0,USD,112200.0,US,0,US,Medium
2025,Senior,Full-time,Business Analyst,85000.0,USD,85000.0,US,100,US,Medium
2025,Senior,Full-time,Data Governance Lead,144271.0,AUD,93682.0,AU,0,AU,Medium
